Full Name,Team,Position,Overall Avg FPT,Home Avg FPT,Away Avg FPT,FPT Std Dev,Floor Rate % (FPT<8),Ceiling Rate % (FPT>=20),Total Minutes,FPT per Minute,Games Played
Saliou Niang,Virtus Bologna,F,11.39,12.44,10.39,9.29,40.54,16.22,791.3,0.533,37
Isaia Cordinier,Anadolu Efes Istanbul,G,8.93,8.19,9.79,9.29,46.67,6.67,726.1,0.369,30
Braian Angola,LDLC ASVEL Villeurbanne,F,17.91,21,14.83,9.33,7.14,42.86,338.3,0.741,14
Sterling Brown,Partizan Mozzart Bet Belgrade,G,11.59,13.56,9.73,9.35,45.95,21.62,1040.9,0.412,37
Nathan Reuvers,Valencia Basket,F,11.63,9.67,13.79,9.35,43.18,13.64,838.5,0.61,44
Mamadi Diakite,Baskonia Vitoria-Gasteiz,F,10.51,10.45,10.56,9.41,45.95,13.51,713.3,0.545,37
Markus Howard,Baskonia Vitoria-Gasteiz,G,7.09,5.99,8.1,9.45,69.57,13.04,474.8,0.344,23
Duane Washington,Partizan Mozzart Bet Belgrade,G,11.41,12.4,10.34,9.46,39.13,17.39,504.4,0.52,23
Shavon Shields,EA7 Emporio Armani Milan,F,13.42,12.68,14.12,9.59,31.43,17.14,942.4,0.498,35
Sylvain Francisco,Zalgiris Kaunas,G,20.43,20.04,20.82,9.62,11.9,54.76,1166.6,0.735,42
Roman Sorkin,Maccabi Rapyd Tel Aviv,F,14.93,15.49,14.36,9.64,26.32,28.95,870.5,0.652,38
Evan Fournier,Olympiacos Piraeus,G,9.73,9.61,9.86,9.65,43.59,15.38,855.5,0.444,39
Talen Horton Tucker,Fenerbahce Beko Istanbul,G,15.5,16.86,14.33,9.67,24.39,36.59,977.3,0.65,41
Mfiondu Kabengele,Dubai Basketball,C,18.37,16.86,19.72,9.69,11.11,41.67,801,0.826,36
Tyler Dorsey,Olympiacos Piraeus,G,14.7,13.51,16.05,9.75,23.26,25.58,1082.1,0.584,43
